"Original Filename","New Filename","Service Area","Industry","AI Confidence"
"Q42025Railroad1.png","GBI_Railroad_Water-Other_008.png","Railroad","Water & Other",""
"Q42025Railroad2.png","GBI_Railroad_Mining-Aggregates_019.png","Railroad","Mining & Aggregates",""
"Q42025Railroad3.png","GBI_Railroad_Mining-Aggregates_020.png","Railroad","Mining & Aggregates",""
"Q42025SMP1.gif","GBI_SMP_Power_005.gif","SMP","Power",""
"Q42025SMP2.jpg","GBI_SMP_OilGasChem_006.jpg","SMP","Oil, Gas & Chemical",""
"Q42025SMP3.jpg","GBI_SMP_OilGasChem_007.jpg","SMP","Oil, Gas & Chemical",""
"Q42025SMP4.jpg","GBI_SMP_OilGasChem_008.jpg","SMP","Oil, Gas & Chemical",""
"Q42025Tanks1.jpg","GBI_Tank_Mining-Aggregates_030.jpg","Tank","Mining & Aggregates",""
"Q42025Tanks2.jpg","GBI_Tank_Mining-Aggregates_031.jpg","Tank","Mining & Aggregates",""
"Q42025Tanks3.jpg","GBI_Tank_Mining-Aggregates_032.jpg","Tank","Mining & Aggregates",""
"Q42025Tanks4.jpg","GBI_Tank_Water-Other_018.jpg","Tank","Water & Other",""
"Q42025Tanks5.jpg","GBI_Tank_Mining-Aggregates_033.jpg","Tank","Mining & Aggregates",""
"Q42025Tanks6.png","GBI_SMP_Water-Other_005.png","SMP","Water & Other",""
"Q42025Tanks7.jpg","GBI_Tank_Mining-Aggregates_034.jpg","Tank","Mining & Aggregates",""
"Q42025Tanks8.jpg","GBI_Tank_Mining-Aggregates_035.jpg","Tank","Mining & Aggregates",""
"Q42025Tanks9.jpg","GBI_Tank_Water-Other_019.jpg","Tank","Water & Other",""
"Q42025Tanks10.jpg","GBI_Tank_Mining-Aggregates_036.jpg","Tank","Mining & Aggregates",""
"Q42025Tanks11.jpg","GBI_Tank_Mining-Aggregates_037.jpg","Tank","Mining & Aggregates",""
"Q42025Tanks12.jpg","GBI_Tank_Water-Other_020.jpg","Tank","Water & Other",""
